Transaction ID,Customer ID,Customer Name,Order Date,Sales Person Name,Product ID,Category,Product Name,Dollar Sales,Returns,Quantity
103982,AA-10375,Allen Armold,14/11/2021,John Blake,J-2001,Jeans,Black Denim,25,0,1
147039,AA-10375,Allen Armold,07/09/2022,Alex Ferguson,J-2003,Jeans,Chinos,200,0,5
131065,AA-10375,Allen Armold,07/09/2022,Alex Ferguson,J-2002,Jeans,Blue Denim,30,0,2
131065,AA-10375,Allen Armold,11/12/2022,Alex Ferguson,J-2003,Jeans,Chinos,120,0,3
169488,AA-10480,Andrew Allen,17/07/2021,Samuel Washington,J-2003,Jeans,Chinos,120,0,3
169488,AA-10480,Andrew Allen,17/07/2021,Samuel Washington,J-2003,Jeans,Chinos,40,0,1
100230,AA-10480,Andrew Allen,17/07/2021,Samuel Washington,J-2002,Jeans,Blue Denim,120,0,8
100230,AA-10480,Andrew Allen,26/08/2021,Samuel Washington,J-2002,Jeans,Blue Denim,30,0,2
121671,AA-10480,Andrew Allen,15/04/2022,John Blake,J-2003,Jeans,Chinos,120,0,3
121671,AA-10645,Anna Andreadi,05/11/2022,Mike Davidson,J-2001,Jeans,Black Denim,50,0,2
121671,AB-10060,Adam Bellavance,13/03/2021,John Blake,J-2002,Jeans,Blue Denim,30,0,2
114601,AB-10060,Adam Bellavance,01/09/2021,Alex Ferguson,J-2002,Jeans,Blue Denim,30,0,2
114601,AB-10060,Adam Bellavance,01/09/2021,Alex Ferguson,J-2001,Jeans,Black Denim,100,0,4
114601,AB-10060,Adam Bellavance,16/09/2022,Alex Ferguson,J-2002,Jeans,Blue Denim,60,0,4
114601,AB-10060,Adam Bellavance,05/11/2022,Samuel Washington,J-2003,Jeans,Chinos,40,0,1
114412,AB-10060,Adam Bellavance,05/11/2022,Samuel Washington,J-2002,Jeans,Blue Denim,45,0,3
147137,AB-10060,Adam Bellavance,05/11/2022,Samuel Washington,J-2002,Jeans,Blue Denim,150,0,10
147137,AB-10150,Aimee Bixby,31/01/2021,Samuel Washington,J-2002,Jeans,Blue Denim,45,0,3
131205,AB-10150,Aimee Bixby,19/11/2022,Samuel Washington,J-2003,Jeans,Chinos,160,0,4
